ascore,category,description,ein,tot_exp,admin_exp_p,fund_eff,fund_exp_p,program_exp_p,fscore,leader,leader_comp,leader_comp_p,motto,name,tot_rev,score,state,subcategory,size,program_exp,fund_exp,admin_exp
100.0,Environment,"Working with Oregonians to enhance our quality of life by building livable urban and rural communities, protecting family farms and forests, and conserving natural areas.",93-0642086,917313.0,0.10099999999999999,0.18,0.184,0.7140000000000001,88.61,Lynn Peterson,0.0,0.0,Great communities. Working lands. Iconic Places.,1000 Friends of Oregon,1022513.0,91.94,OR,Environmental Protection and Conservation,small,654961.4820000001,168785.592,92648.613
89.0,"Arts, Culture, Humanities","Serving the metropolitan Baltimore area and the state of Maryland, the mission of WYPR Your Public Radio is to broadcast programs of intellectual integrity and cultural merit which enrich the minds and spirits of our listeners and ultimately strengthen the communities we serve. WYPR adheres to the highest standards of journalistic and artistic excellence. It delivers educational, informational, cultural, and entertainment programming as a public services to the broadest possible audience.",31-1770828,5053059.0,0.231,0.05,0.032,0.735,82.85,Anthony S. Brandon,163341.0,0.0323,88.1 FM -. Your NPR News Station,WYPR,5685761.0,85.59,MD,Public Broadcasting and Media,mid,3713998.3649999998,161697.888,1167256.629
70.0,Religion,"VSS Catholic Communications is dedicated to answering the call of the late Holy Father, Blessed John Paul II, for a New Evangelization. Our charism in the mission of evangelization is to broadly employ broadcast media to transmit the Gospel of Jesus Christ with the fullness of the living Tradition as preserved, revered and proclaimed by the Catholic Church for more than 2,000 years. Everyone involved recognizes this apostolate as an extraordinary gift, which we receive anew each day.",91-1857425,1891500.0,0.114,0.17,0.19699999999999998,0.687,86.74,Jim Carroll,114791.0,0.060599999999999994,Spirit Catholic Radio Network,VSS Catholic Communications,2140836.0,76.8,NE,Religious Media and Broadcasting,small,1299460.5,372625.49999999994,215631.0
93.0,"Arts, Culture, Humanities","The mission of the Utah Symphony & Opera is to give great performances which engage, educate, and enrich lives.",51-0145980,22506582.0,0.092,0.08,0.054000000000000006,0.852,91.03,Paul Meecham,124805.0,0.0055000000000000005,"Engaging, educating, and enriching lives",Utah Symphony & Opera,22203175.0,91.95,UT,Performing Arts,big,19175607.864,1215355.428,2070605.544
100.0,Human Services,"Funded solely by the footwear industry, Two Ten Footwear Foundation is committed to strengthening the footwear community with financial relief, scholarships, counseling support and information and referral services to shoepeople in need. For more than 70 years, Two Ten still provides a safety net for individuals and families throughout our industry who are facing difficult times.",22-2579809,5594243.0,0.126,0.12,0.122,0.75,86.23,Neal Newman,219002.0,0.0391,Shoepeople Helping Shoepeople,Two Ten Footwear Foundation,6935506.0,90.26,MA,Social Services,mid,4195682.25,682497.646,704874.618
89.0,"Arts, Culture, Humanities","Syracuse Stage is a global village square where renowned artists and audiences of all ages gather to celebrate our cultural richness, witness the many truths of our common humanity, and explore the transformative power of live theatre. As the professional theatre in residence at Syracuse University, we create innovative, adventurous, and entertaining productions of new plays, classics and musicals, and offer interactive education and outreach programs to Central New York.",15-0623468,5682361.0,0.23199999999999998,0.06,0.039,0.728,81.51,Diana Coles,65663.0,0.0115,Syracuse Stage illuminates the many truths of our common humanity through the transformative power of live theatre.,Syracuse Stage,5672247.0,84.78,NY,Performing Arts,mid,4136758.8079999997,221612.079,1318307.7519999999
100.0,Religion,Partnering with God in leading people to share His saving grace.,95-6006642,2691787.0,0.237,0.19,0.185,0.5770000000000001,64.7,Randy Bates,84760.0,0.031400000000000004,Reaching thousands for Christ worldwide through volunteer-based international evangelism.,Quiet Hour Ministries,3189235.0,75.03,CA,Religious Media and Broadcasting,small,1553161.0990000002,497980.595,637953.519
81.0,Education,"Put On The B.R.A.K.E.S. (Be Responsible And Keep Everyone Safe) is a non-profit whose mission is to prevent injuries and save lives by training and educating teenage drivers and their parents about the importance of safe and responsible driving. When NHRA drag racing star Doug Herbert lost his two young sons, Jon and James, in a tragic car crash in January of 2008, his grief led to his resolve to create a driving program which would help to prevent other families from experiencing similar heartbreak by teaching young drivers more conscientious and confident skills behind the wheel.",26-2176362,3174615.0,0.071,0.08,0.067,0.861,92.5,Doug Herbert,150000.0,0.0472,Be Responsible and Keep Everyone Safe,"Put On The BRAKES,  B.R.A.K.E.S.",3671779.0,85.55,NC,Youth Education Programs and Services,small,2733343.515,212699.20500000002,225397.66499999998
100.0,Human Services,"Ozarks Food Harvest has a mission of Transforming Hunger into Hope. This simple statement serves as a meaningful summary of Ozarks Food Harvest's goal to supply as much food as possible to individuals in need. The Food Bank rescues, warehouses, processes and distributes food and supplies to 270 nonprofit hunger-relief organizations in 28 counties, reaching 30,000 children, families and seniors weekly.",43-1426384,30424252.0,0.021,0.02,0.02,0.9570000000000001,96.42,Bart Brown,133303.0,0.0043,Transforming Hunger into Hope,Ozarks Food Harvest,32837895.0,97.46,MO,"Food Banks, Food Pantries, and Food Distribution",big,29116009.164,608485.04,638909.292
100.0,Education,"NYC Outward Bound Schools transforms schools and changes lives by bringing out the best in New York City's students, teachers and school leaders. We operate a citywide network of public schools in partnership with the City's Department of Education, which primarily target students from underserved neighborhoods. Our educational approach delivers rigor through active, real-world learning, develops character skills, inspires students to serve their communities, and instills in them the grit to overcome challenges. Our graduates succeed in more than just college and careers - they're active citizens who make their communities better for all.",13-3471084,6541364.0,0.054000000000000006,0.17,0.095,0.85,96.13,Richard Stopol,196779.0,0.03,"Transforming Schools, Changing Lives",NYC Outward Bound Schools,6403194.0,97.26,NY,Youth Education Programs and Services,mid,5560159.399999999,621429.58,353233.656
